"name","freq","kmpr","ikmpr","df","doodson",,,,,,"semi","isat","nsat","ishallow","nshallow","doodsonamp","doodsonspecies",
"Z0  ",0,"M2  ",48,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,
"SA  ",0.00011407,"SSA ",3,0.00011409,0,0,1,0,0,-1,0,NaN,NaN,NaN,NaN,0.0116,0,
"SSA ",0.00022816,"Z0  ",1,0.00022816,0,0,2,0,0,0,0,NaN,NaN,NaN,NaN,0.07299,0,
"MSM ",0.0013098,"MM  ",5,0.00020237,0,1,-2,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,
"MM  ",0.0015122,"MSF ",6,0.0013098,0,1,0,-1,0,0,0,NaN,NaN,NaN,NaN,0.08254,0,
"MSF ",0.0028219,"Z0  ",1,0.0028219,0,2,-2,0,0,0,0,NaN,NaN,NaN,NaN,0.01376,0,
"MF  ",0.0030501,"MSF ",6,0.00022816,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,0.15642,0,
"ALP1",0.034397,"2Q1 ",9,0.0013098,1,-4,2,1,0,0,-0.25,1,2,NaN,NaN,0.00278,-1,
"2Q1 ",0.035706,"Q1  ",11,0.0015122,1,-3,0,2,0,0,-0.25,3,5,NaN,NaN,0.00955,-1,
"SIG1",0.035909,"2Q1 ",9,0.00020237,1,-3,2,0,0,0,-0.25,8,4,NaN,NaN,0.01153,-1,
"Q1  ",0.037219,"O1  ",13,0.0015122,1,-2,0,1,0,0,-0.25,12,10,NaN,NaN,0.07216,-1,
"RHO1",0.037421,"Q1  ",11,0.00020237,1,-2,2,-1,0,0,-0.25,22,5,NaN,NaN,0.01371,-1,
"O1  ",0.038731,"K1  ",21,0.0030501,1,-1,0,0,0,0,-0.25,27,8,NaN,NaN,0.37689,-1,
"TAU1",0.038959,"O1  ",13,0.00022816,1,-1,2,0,0,0,-0.75,35,5,NaN,NaN,-0.00491,-1,
"BET1",0.04004,"NO1 ",16,0.00022816,1,0,-2,1,0,0,-0.75,40,1,NaN,NaN,-0.00278,-1,
"NO1 ",0.040269,"K1  ",21,0.0015122,1,0,0,1,0,0,-0.75,41,9,NaN,NaN,-0.02964,-1,
"CHI1",0.040471,"NO1 ",16,0.00020237,1,0,2,-1,0,0,-0.75,50,2,NaN,NaN,-0.00566,-1,
"PI1 ",0.041439,"P1  ",19,0.00011407,1,1,-3,0,0,1,-0.25,52,1,NaN,NaN,0.01029,-1,
"P1  ",0.041553,"K1  ",21,0.00022816,1,1,-2,0,0,0,-0.25,53,6,NaN,NaN,0.17584,-1,
"S1  ",0.041667,"K1  ",21,0.00011407,1,1,-1,0,0,1,-0.75,59,2,NaN,NaN,-0.00423,-1,
"K1  ",0.041781,"Z0  ",1,0.041781,1,1,0,0,0,0,-0.75,61,10,NaN,NaN,-0.5305,-1,
"PSI1",0.041895,"K1  ",21,0.00011407,1,1,1,0,0,-1,-0.75,71,1,NaN,NaN,-0.00423,-1,
"PHI1",0.042009,"K1  ",21,0.00022816,1,1,2,0,0,0,-0.75,72,5,NaN,NaN,-0.00756,-1,
"THE1",0.043091,"J1  ",25,0.00020237,1,2,-2,1,0,0,-0.75,77,4,NaN,NaN,-0.00566,-1,
"J1  ",0.043293,"K1  ",21,0.0015122,1,2,0,-1,0,0,-0.75,81,10,NaN,NaN,-0.02964,-1,
"2PO1",0.044375,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,NaN,
"SO1 ",0.044603,"OO1 ",28,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,2,NaN,NaN,
"OO1 ",0.044831,"J1  ",25,0.0015379,1,3,0,0,0,0,-0.75,91,8,NaN,NaN,-0.01623,-1,
"UPS1",0.046343,"OO1 ",28,0.0015122,1,4,0,-1,0,0,-0.75,99,5,NaN,NaN,-0.00311,-1,
"ST36",0.073355,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3,NaN,NaN,
"2NS2",0.074665,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,NaN,NaN,
"ST37",0.074868,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,2,NaN,NaN,
"ST1 ",0.074893,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,3,NaN,NaN,
"OQ2 ",0.075975,"EPS2",35,0.00020237,2,-3,0,3,0,0,0,104,2,NaN,NaN,0.00259,2,
"EPS2",0.076177,"2N2 ",39,0.0013098,2,-3,2,1,0,0,0,106,3,NaN,NaN,0.00671,2,
"ST2 ",0.076405,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,4,NaN,NaN,
"ST3 ",0.077233,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,3,NaN,NaN,
"O2  ",0.077461,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,1,NaN,NaN,
"2N2 ",0.077487,"MU2 ",40,0.00020237,2,-2,0,2,0,0,0,109,4,NaN,NaN,0.02301,2,
"MU2 ",0.077689,"N2  ",42,0.0013098,2,-2,2,0,0,0,0,113,3,NaN,NaN,0.02777,2,
"SNK2",0.078771,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,3,NaN,NaN,
"N2  ",0.078999,"M2  ",48,0.0015122,2,-1,0,1,0,0,0,116,4,NaN,NaN,0.17387,2,
"NU2 ",0.079202,"N2  ",42,0.00020237,2,-1,2,-1,0,0,0,120,4,NaN,NaN,0.03303,2,
"ST4 ",0.079456,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,3,NaN,NaN,
"OP2 ",0.080283,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,2,NaN,NaN,
"GAM2",0.080309,"H1  ",47,8.8297e-05,2,0,-2,2,0,0,-0.5,124,3,NaN,NaN,-0.00273,2,
"H1  ",0.080397,"M2  ",48,0.00011407,2,0,-1,0,0,1,-0.5,127,2,NaN,NaN,-0.00314,2,
"M2  ",0.080511,"Z0  ",1,0.080511,2,0,0,0,0,0,0,129,9,NaN,NaN,0.90812,2,
"H2  ",0.080625,"M2  ",48,0.00011407,2,0,1,0,0,-1,0,138,1,NaN,NaN,0.00276,2,
"MKS2",0.08074,"M2  ",48,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31,3,NaN,NaN,
"ST5 ",0.080968,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,3,NaN,NaN,
"ST6 ",0.081593,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,4,NaN,NaN,
"LDA2",0.081821,"L2  ",54,0.00020237,2,1,-2,1,0,0,-0.5,139,1,NaN,NaN,-0.0067,2,
"L2  ",0.082024,"S2  ",57,0.0013098,2,1,0,-1,0,0,-0.5,140,5,NaN,NaN,-0.02567,2,
"2SK2",0.083105,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,2,NaN,NaN,
"T2  ",0.083219,"S2  ",57,0.00011407,2,2,-3,0,0,1,0,NaN,NaN,NaN,NaN,0.02479,2,
"S2  ",0.083333,"M2  ",48,0.0028219,2,2,-2,0,0,0,0,145,3,NaN,NaN,0.42358,2,
"R2  ",0.083447,"S2  ",57,0.00011407,2,2,-1,0,0,-1,-0.5,148,2,NaN,NaN,-0.00354,2,
"K2  ",0.083561,"S2  ",57,0.00022816,2,2,0,0,0,0,0,150,5,NaN,NaN,0.11506,2,
"MSN2",0.084845,"ETA2",61,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,3,NaN,NaN,
"ETA2",0.085074,"K2  ",59,0.0015122,2,3,0,-1,0,0,0,155,7,NaN,NaN,0.00643,2,
"ST7 ",0.085302,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,4,NaN,NaN,
"2SM2",0.086155,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,2,NaN,NaN,
"ST38",0.086358,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,3,NaN,NaN,
"SKM2",0.086383,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,3,NaN,NaN,
"2SN2",0.087667,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,2,NaN,NaN,
"NO3 ",0.11773,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,2,NaN,NaN,
"MO3 ",0.11924,"M3  ",69,0.001525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,2,NaN,NaN,
"M3  ",0.12077,"M2  ",48,0.040256,3,0,0,0,0,0,-0.5,162,1,NaN,NaN,-0.01188,3,
"NK3 ",0.12078,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,2,NaN,NaN,
"SO3 ",0.12206,"MK3 ",72,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,2,NaN,NaN,
"MK3 ",0.12229,"M3  ",69,0.001525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,2,NaN,NaN,
"SP3 ",0.12489,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,2,NaN,NaN,
"SK3 ",0.12511,"MK3 ",72,0.0028219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,2,NaN,NaN,
"ST8 ",0.15669,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,3,NaN,NaN,
"N4  ",0.158,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,1,NaN,NaN,
"3MS4",0.1582,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,2,NaN,NaN,
"ST39",0.15928,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,4,NaN,NaN,
"MN4 ",0.15951,"M4  ",82,0.0015122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,2,NaN,NaN,
"ST9 ",0.15974,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,4,NaN,NaN,
"ST40",0.16079,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,3,NaN,NaN,
"M4  ",0.16102,"M3  ",69,0.040256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,1,NaN,NaN,
"ST10",0.16125,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,3,NaN,NaN,
"SN4 ",0.16233,"M4  ",82,0.0013098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,2,NaN,NaN,
"KN4 ",0.16256,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,2,NaN,NaN,
"MS4 ",0.16384,"M4  ",82,0.0028219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,2,NaN,NaN,
"MK4 ",0.16407,"MS4 ",86,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103,2,NaN,NaN,
"SL4 ",0.16536,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105,2,NaN,NaN,
"S4  ",0.16667,"MS4 ",86,0.0028219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107,1,NaN,NaN,
"SK4 ",0.16689,"S4  ",89,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108,2,NaN,NaN,
"MNO5",0.19824,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110,3,NaN,NaN,
"2MO5",0.19975,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113,2,NaN,NaN,
"3MP5",0.19998,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115,2,NaN,NaN,
"MNK5",0.20129,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117,3,NaN,NaN,
"2MP5",0.20258,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,2,NaN,NaN,
"2MK5",0.2028,"M4  ",82,0.041781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122,2,NaN,NaN,
"MSK5",0.20563,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124,3,NaN,NaN,
"3KM5",0.20585,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127,3,NaN,NaN,
"2SK5",0.20845,"2MK5",96,0.0056439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,130,2,NaN,NaN,
"ST11",0.23723,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132,3,NaN,NaN,
"2NM6",0.23851,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135,2,NaN,NaN,
"ST12",0.23874,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137,4,NaN,NaN,
"2MN6",0.24002,"M6  ",106,0.0015122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144,2,NaN,NaN,
"ST13",0.24025,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146,4,NaN,NaN,
"ST41",0.24131,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141,3,NaN,NaN,
"M6  ",0.24153,"2MK5",96,0.038731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150,1,NaN,NaN,
"MSN6",0.24284,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151,3,NaN,NaN,
"MKN6",0.24307,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,3,NaN,NaN,
"ST42",0.24413,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169,3,NaN,NaN,
"2MS6",0.24436,"M6  ",106,0.0028219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157,2,NaN,NaN,
"2MK6",0.24458,"2MS6",110,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,159,2,NaN,NaN,
"NSK6",0.24589,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,161,3,NaN,NaN,
"2SM6",0.24718,"2MS6",110,0.0028219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,164,2,NaN,NaN,
"MSK6",0.24741,"2SM6",113,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,166,3,NaN,NaN,
"S6  ",0.25,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172,1,NaN,NaN,
"ST14",0.27875,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173,3,NaN,NaN,
"ST15",0.28029,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,176,3,NaN,NaN,
"M7  ",0.28179,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179,1,NaN,NaN,
"ST16",0.28309,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,3,NaN,NaN,
"3MK7",0.28331,"M6  ",106,0.041781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183,2,NaN,NaN,
"ST17",0.28614,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,185,4,NaN,NaN,
"ST18",0.31902,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,189,2,NaN,NaN,
"3MN8",0.32053,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,191,2,NaN,NaN,
"ST19",0.32076,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193,4,NaN,NaN,
"M8  ",0.32205,"3MK7",120,0.038731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197,1,NaN,NaN,
"ST20",0.32336,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,198,3,NaN,NaN,
"ST21",0.32358,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,3,NaN,NaN,
"3MS8",0.32487,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,204,2,NaN,NaN,
"3MK8",0.3251,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,206,2,NaN,NaN,
"ST22",0.32641,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,208,4,NaN,NaN,
"ST23",0.32769,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212,2,NaN,NaN,
"ST24",0.32792,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214,3,NaN,NaN,
"ST25",0.3608,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,217,3,NaN,NaN,
"ST26",0.36231,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,220,3,NaN,NaN,
"4MK9",0.36383,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,223,2,NaN,NaN,
"ST27",0.36665,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,3,NaN,NaN,
"ST28",0.40104,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,228,2,NaN,NaN,
"M10 ",0.40256,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,1,NaN,NaN,
"ST29",0.40387,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,231,3,NaN,NaN,
"ST30",0.40538,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,234,2,NaN,NaN,
"ST31",0.40692,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,236,4,NaN,NaN,
"ST32",0.4082,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,2,NaN,NaN,
"ST33",0.44716,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,242,3,NaN,NaN,
"M12 ",0.48307,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245,1,NaN,NaN,
"ST34",0.48589,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,246,2,NaN,NaN,
"ST35",0.48743,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,248,4,NaN,NaN,

