"name","freq","doodson",,,,,,"semi","doodsonamp","doodsonspecies",
"Z0  ",0,0,0,0,0,0,0,0,NaN,NaN,
"SA  ",0.00011407,0,0,1,0,0,-1,0,0.0116,0,
"SSA ",0.00022816,0,0,2,0,0,0,0,0.07299,0,
"MSM ",0.0013098,0,1,-2,1,0,0,0,NaN,NaN,
"MM  ",0.0015122,0,1,0,-1,0,0,0,0.08254,0,
"MSF ",0.0028219,0,2,-2,0,0,0,0,0.01376,0,
"MF  ",0.0030501,0,2,0,0,0,0,0,0.15642,0,
"A233",0.034384,1,-4,2,0,0,0,0.5,0.00010008,1,
"A323",0.03439,1,-4,2,1,-1,0,-0.25,0.00052987,-1,
"ALP1",0.034397,1,-4,2,1,0,0,-0.25,0.00278,-1,
"2113",0.035668,1,-3,0,0,-2,0,0.25,6.0165e-05,-1,
"2223",0.035687,1,-3,0,1,-1,0,0.5,0.00023015,1,
"2233",0.035693,1,-3,0,1,0,0,0.5,0.00057968,1,
"2313",0.035694,1,-3,0,2,-2,0,0.25,6.0165e-05,-1,
"2323",0.0357,1,-3,0,2,-1,0,-0.25,0.0018002,-1,
"2Q1 ",0.035706,1,-3,0,2,0,0,-0.25,0.00955,-1,
"S233",0.035896,1,-3,2,-1,0,0,0.5,0.00010954,1,
"S313",0.035896,1,-3,2,0,-2,0,0.25,7.0333e-05,-1,
"S323",0.035903,1,-3,2,0,-1,0,-0.25,0.0021723,-1,
"SIG1",0.035909,1,-3,2,0,0,0,-0.25,0.01153,-1,
"S533",0.035935,1,-3,2,2,0,0,0.25,0.00010031,-1,
"Q103",0.037174,1,-2,0,-1,-3,0,0.25,5.0512e-05,-1,
"Q113",0.03718,1,-2,0,-1,-2,0,0.25,0.00028142,-1,
"Q213",0.037193,1,-2,0,0,-2,0,0.5,7.216e-05,1,
"Q223",0.037199,1,-2,0,0,-1,0,0.5,0.00082984,1,
"Q233",0.037206,1,-2,0,0,0,0,0.5,0.0021071,1,
"Q234",0.037206,1,-2,0,0,0,1,-0.25,5.7728e-05,-1,
"Q313",0.037206,1,-2,0,1,-2,0,0.25,0.00041131,-1,
"Q323",0.037212,1,-2,0,1,-1,0,-0.25,0.013595,-1,
"Q1  ",0.037219,1,-2,0,1,0,0,-0.25,0.07216,-1,
"Q433",0.037231,1,-2,0,2,0,0,0.5,0.00012989,1,
"Q533",0.037244,1,-2,0,3,0,0,0.25,0.00020205,-1,
"R313",0.037409,1,-2,2,-1,-2,0,0.25,7.9518e-05,-1,
"R323",0.037415,1,-2,2,-1,-1,0,-0.25,0.0025802,-1,
"RHO1",0.037421,1,-2,2,-1,0,0,-0.25,0.01371,-1,
"R433",0.037434,1,-2,2,0,0,0,0.5,0.0001796,1,
"R533",0.037447,1,-2,2,1,0,0,0.25,0.0007897,-1,
"R543",0.037453,1,-2,2,1,1,0,-0.25,0.00023993,-1,
"O233",0.038718,1,-1,0,-1,0,0,0,0.00011307,1,
"O313",0.038718,1,-1,0,0,-2,0,0.25,0.002186,-1,
"O323",0.038725,1,-1,0,0,-1,0,-0.25,0.071044,-1,
"O1  ",0.038731,1,-1,0,0,0,0,-0.25,0.37689,-1,
"O423",0.038737,1,-1,0,1,-1,0,0,0.00015076,1,
"O433",0.038744,1,-1,0,1,0,0,0.5,0.001093,1,
"O443",0.03875,1,-1,0,1,1,0,0,0.00015076,1,
"O533",0.038756,1,-1,0,2,0,0,0.25,0.0024121,-1,
"O543",0.038763,1,-1,0,2,1,0,0.25,0.00037689,-1,
"T133",0.038933,1,-1,2,-2,0,0,-0.75,-0.00021899,-1,
"T233",0.038946,1,-1,2,-1,0,0,-0.5,-0.00020917,1,
"T323",0.038953,1,-1,2,0,-1,0,-0.25,-0.00013944,-1,
"TAU1",0.038959,1,-1,2,0,0,0,-0.75,-0.00491,-1,
"T343",0.038965,1,-1,2,0,1,0,-0.25,-0.0010655,-1,
"T353",0.038971,1,-1,2,0,2,0,-0.25,-6.9722e-05,-1,
"B323",0.040034,1,0,-2,1,-1,0,-0.75,-0.00062995,-1,
"BET1",0.04004,1,0,-2,1,0,0,-0.75,-0.00278,-1,
"N113",0.040231,1,0,0,-1,-2,0,-0.25,-0.00016895,-1,
"N123",0.040237,1,0,0,-1,-1,0,-0.75,-0.0019711,-1,
"N133",0.040243,1,0,0,-1,0,0,-0.75,-0.010659,-1,
"N223",0.04025,1,0,0,0,-1,0,0,-0.00098108,1,
"N233",0.040256,1,0,0,0,0,0,-0.5,-0.0066008,1,
"N243",0.040262,1,0,0,0,1,0,0,-0.00085956,1,
"N323",0.040262,1,0,0,1,-1,0,-0.25,-0.00085956,-1,
"NO1 ",0.040269,1,0,0,1,0,0,-0.75,-0.02964,-1,
"N343",0.040275,1,0,0,1,1,0,-0.75,-0.0059399,-1,
"N353",0.040281,1,0,0,1,2,0,-0.25,-0.00016006,-1,
"C323",0.040465,1,0,2,-1,-1,0,-0.25,-0.00015961,-1,
"CHI1",0.040471,1,0,2,-1,0,0,-0.75,-0.00566,-1,
"C343",0.040477,1,0,2,-1,1,0,-0.75,-0.0012378,-1,
"P323",0.041432,1,1,-3,0,-1,1,0.25,8.0262e-05,-1,
"PI1 ",0.041439,1,1,-3,0,0,1,-0.25,0.01029,-1,
"P313",0.04154,1,1,-2,0,-2,0,-0.25,0.00014067,-1,
"P323",0.041546,1,1,-2,0,-1,0,0.25,0.0019694,-1,
"P1  ",0.041553,1,1,-2,0,0,0,-0.25,0.17584,-1,
"P335",0.041553,1,1,-2,0,0,2,0.25,7.0336e-05,-1,
"P433",0.041565,1,1,-2,1,0,0,0.5,7.0336e-05,1,
"P533",0.041578,1,1,-2,2,0,0,0.25,0.00026376,-1,
"P543",0.041585,1,1,-2,2,1,0,0.25,5.2752e-05,-1,
"S331",0.041667,1,1,-1,0,0,-1,-0.75,-0.0014949,-1,
"S1  ",0.041667,1,1,-1,0,0,1,-0.75,-0.00423,-1,
"S343",0.041673,1,1,-1,0,1,1,-0.25,-0.00011167,-1,
"K123",0.041749,1,1,0,-2,-1,0,-0.75,-0.0001061,-1,
"K223",0.041762,1,1,0,-1,-1,0,0,-5.305e-05,1,
"K233",0.041768,1,1,0,-1,0,0,-0.5,-0.00037135,1,
"K313",0.041768,1,1,0,0,-2,0,-0.75,-5.305e-05,-1,
"K243",0.041774,1,1,0,-1,1,0,0,-5.305e-05,1,
"K323",0.041775,1,1,0,0,-1,0,-0.25,-0.010504,-1,
"K1  ",0.041781,1,1,0,0,0,0,-0.75,-0.5305,-1,
"K343",0.041787,1,1,0,0,1,0,-0.75,-0.071936,-1,
"K353",0.041793,1,1,0,0,2,0,-0.25,-0.0015384,-1,
"K433",0.041794,1,1,0,1,0,0,-0.5,-0.0001061,1,
"K443",0.0418,1,1,0,1,1,0,-0.5,-5.305e-05,1,
"PSI1",0.041895,1,1,1,0,0,-1,-0.75,-0.00423,-1,
"P343",0.041901,1,1,1,0,1,-1,-0.75,-8.037e-05,-1,
"P133",0.041983,1,1,2,-2,0,0,-0.75,-0.00026006,-1,
"P143",0.041989,1,1,2,-2,1,0,-0.75,-8.0136e-05,-1,
"P331",0.042009,1,1,2,0,0,-2,-0.75,-9.9792e-05,-1,
"PHI1",0.042009,1,1,2,0,0,0,-0.75,-0.00756,-1,
"P343",0.042015,1,1,2,0,1,0,-0.25,-0.0002903,-1,
"P353",0.042021,1,1,2,0,2,0,-0.25,-0.00013986,-1,
"T123",0.043059,1,2,-2,-1,-1,0,-0.75,-0.0001698,-1,
"T233",0.043078,1,2,-2,0,0,0,-0.5,-7.9806e-05,1,
"T323",0.043084,1,2,-2,1,-1,0,-0.25,-0.00017942,-1,
"THE1",0.043091,1,2,-2,1,0,0,-0.75,-0.00566,-1,
"T343",0.043097,1,2,-2,1,1,0,-0.75,-0.001128,-1,
"J323",0.043287,1,2,0,-1,-1,0,-0.25,-0.00087142,-1,
"J1  ",0.043293,1,2,0,-1,0,0,-0.75,-0.02964,-1,
"J343",0.043299,1,2,0,-1,1,0,-0.75,-0.0058687,-1,
"J423",0.0433,1,2,0,0,-1,0,0,-8.0028e-05,1,
"J353",0.043305,1,2,0,-1,2,0,-0.25,-0.00013931,-1,
"J433",0.043306,1,2,0,0,0,0,-0.5,-0.0024186,1,
"J443",0.043312,1,2,0,0,1,0,-0.5,-0.00098108,1,
"J453",0.043318,1,2,0,0,2,0,-0.5,-8.0028e-05,1,
"J533",0.043319,1,2,0,1,0,0,-0.25,-0.00045053,-1,
"J543",0.043325,1,2,0,1,1,0,-0.25,-0.00029047,-1,
"J553",0.043331,1,2,0,1,2,0,-0.25,-0.00016895,-1,
"O123",0.044799,1,3,0,-2,-1,0,-0.25,-6.0051e-05,-1,
"O133",0.044805,1,3,0,-2,0,0,-0.75,-0.002428,-1,
"O143",0.044811,1,3,0,-2,1,0,-0.75,-0.00048041,-1,
"O233",0.044818,1,3,0,-1,0,0,-0.5,-0.00038952,1,
"O243",0.044824,1,3,0,-1,1,0,-0.5,-0.00016068,1,
"OO1 ",0.044831,1,3,0,0,0,0,-0.75,-0.01623,-1,
"O343",0.044837,1,3,0,0,1,0,-0.75,-0.010384,-1,
"O353",0.044843,1,3,0,0,2,0,-0.75,-0.0021781,-1,
"O363",0.044849,1,3,0,0,3,0,-0.75,-0.00013958,-1,
"U133",0.046317,1,4,0,-3,0,0,-0.75,-0.00019002,-1,
"UPS1",0.046343,1,4,0,-1,0,0,-0.75,-0.00311,-1,
"U343",0.046349,1,4,0,-1,1,0,-0.75,-0.0019901,-1,
"U353",0.046355,1,4,0,-1,2,0,-0.75,-0.0004099,-1,
"U433",0.046356,1,4,0,0,0,0,-0.5,-8.9879e-05,1,
"U443",0.046362,1,4,0,0,1,0,-0.5,-7.9927e-05,1,
"O233",0.075962,2,-3,0,2,0,0,0.25,0.00026988,-2,
"O323",0.075969,2,-3,0,3,-1,0,0.5,9.9974e-05,2,
"OQ2 ",0.075975,2,-3,0,3,0,0,0,0.00259,2,
"E223",0.076158,2,-3,2,0,-1,0,0.25,5.0325e-05,-2,
"E233",0.076164,2,-3,2,0,0,0,0.25,0.00026974,-2,
"E323",0.076171,2,-3,2,1,-1,0,0.5,0.00025028,2,
"EPS2",0.076177,2,-3,2,1,0,0,0,0.00671,2,
"2113",0.077449,2,-2,0,0,-2,0,0.5,0.00014036,2,
"2223",0.077468,2,-2,0,1,-1,0,0.25,0.00026922,-2,
"2233",0.077474,2,-2,0,1,0,0,0.25,0.0015601,-2,
"2323",0.077481,2,-2,0,2,-1,0,0.5,0.00086057,2,
"2N2 ",0.077487,2,-2,0,2,0,0,0,0.02301,2,
"M223",0.07767,2,-2,2,-1,-1,0,0.25,4.9986e-05,-2,
"M233",0.077677,2,-2,2,-1,0,0,0.25,0.00028881,-2,
"M323",0.077683,2,-2,2,0,-1,0,0.5,0.0010414,2,
"MU2 ",0.077689,2,-2,2,0,0,0,0,0.02777,2,
"N113",0.078961,2,-1,0,-1,-2,0,0.5,0.00067809,2,
"N234",0.078986,2,-1,0,0,0,1,0,0.0001391,2,
"N313",0.078987,2,-1,0,1,-2,0,0,8.6935e-05,2,
"N323",0.078993,2,-1,0,1,-1,0,0.5,0.0064854,2,
"N2  ",0.078999,2,-1,0,1,0,0,0,0.17387,2,
"N323",0.079195,2,-1,2,-1,-1,0,0.5,0.001232,2,
"NU2 ",0.079202,2,-1,2,-1,0,0,0,0.03303,2,
"N433",0.079215,2,-1,2,0,0,0,0.75,0.00013873,-2,
"N533",0.079227,2,-1,2,1,0,0,0,0.00013873,2,
"N543",0.079234,2,-1,2,1,1,0,0.5,0.00011891,2,
"G113",0.080271,2,0,-2,0,-2,0,-0.5,-0.00039012,2,
"G233",0.080296,2,0,-2,1,0,0,-0.25,-7.9989e-05,-2,
"G323",0.080303,2,0,-2,2,-1,0,0,-9.009e-05,2,
"GAM2",0.080309,2,0,-2,2,0,0,-0.5,-0.00273,2,
"H323",0.080391,2,0,-1,0,-1,1,0,-7.0336e-05,2,
"H1  ",0.080397,2,0,-1,0,0,1,-0.5,-0.00314,2,
"H432",0.08041,2,0,-1,1,0,0,0,-0.00014036,2,
"M223",0.080492,2,0,0,-1,-1,0,0.75,9.0812e-05,-2,
"M233",0.080499,2,0,0,-1,0,0,0.75,0.00036325,-2,
"M313",0.080499,2,0,0,0,-2,0,0,0.00045406,2,
"M323",0.080505,2,0,0,0,-1,0,0.5,0.033873,2,
"M2  ",0.080511,2,0,0,0,0,0,0,0.90812,2,
"M423",0.080518,2,0,0,1,-1,0,0.25,9.0812e-05,-2,
"M433",0.080524,2,0,0,1,0,0,0.75,0.00081731,-2,
"M443",0.08053,2,0,0,1,1,0,0.75,0.00018162,-2,
"M533",0.080537,2,0,0,2,0,0,0,0.00054487,2,
"M543",0.080543,2,0,0,2,1,0,0,0.00018162,2,
"H323",0.080619,2,0,1,0,-1,-1,0.5,5.9892e-05,2,
"H2  ",0.080625,2,0,1,0,0,-1,0,0.00276,2,
"L323",0.081815,2,1,-2,1,-1,0,0,-0.00030016,2,
"LDA2",0.081821,2,1,-2,1,0,0,-0.5,-0.0067,2,
"L323",0.082017,2,1,0,-1,-1,0,0,-0.00093952,2,
"L2  ",0.082024,2,1,0,-1,0,0,-0.5,-0.02567,2,
"L523",0.082043,2,1,0,1,-1,0,-0.5,-0.00012065,2,
"L533",0.082049,2,1,0,1,0,0,0,-0.0064303,2,
"L543",0.082055,2,1,0,1,1,0,0,-0.0028288,2,
"L553",0.082062,2,1,0,1,2,0,0,-0.00040045,2,
"T2  ",0.083219,2,2,-3,0,0,1,0,0.02479,2,
"S323",0.083327,2,2,-2,0,-1,0,0,0.00093188,2,
"S2  ",0.083333,2,2,-2,0,0,0,0,0.42358,2,
"S433",0.083346,2,2,-2,1,0,0,0.75,4.2358e-05,-2,
"S533",0.083359,2,2,-2,2,0,0,0,4.2358e-05,2,
"R2  ",0.083447,2,2,-1,0,0,-1,-0.5,-0.00354,2,
"R335",0.083447,2,2,-1,0,0,1,0,-0.00089739,2,
"R345",0.083454,2,2,-1,0,1,1,-0.5,-4.9914e-05,2,
"K233",0.083549,2,2,0,-1,0,0,0.75,0.00027614,-2,
"K243",0.083555,2,2,0,-1,1,0,0.75,4.6024e-05,-2,
"K323",0.083555,2,2,0,0,-1,0,0.5,0.0014728,2,
"K2  ",0.083561,2,2,0,0,0,0,0,0.11506,2,
"K343",0.083568,2,2,0,0,1,0,0,0.034288,2,
"K353",0.083574,2,2,0,0,2,0,0,0.0037279,2,
"E323",0.085068,2,3,0,-1,-1,0,0.5,0.00012024,2,
"ETA2",0.085074,2,3,0,-1,0,0,0,0.00643,2,
"E343",0.08508,2,3,0,-1,1,0,0,0.0028003,2,
"E353",0.085086,2,3,0,-1,2,0,0,0.00030028,2,
"E433",0.085087,2,3,0,0,0,0,0.75,0.00048032,-2,
"E443",0.085093,2,3,0,0,1,0,0.75,0.00030993,-2,
"E453",0.085099,2,3,0,0,2,0,0.75,5.9799e-05,-2,
"E533",0.085099,2,3,0,1,0,0,0.5,5.0154e-05,2,
"M323",0.12076,3,0,0,0,-1,0,0,-0.00067003,3,
"M3  ",0.12077,3,0,0,0,0,0,-0.5,-0.01188,3,

